#MSM,Aba-Sah Dadzie(9),Milan Stankovic(8),Matthew Rowe 0001(7),Amparo Elizabeth Cano Basave(4),Giuseppe Rizzo 0002(3),Markus Strohmaier(3),Andrea Varga(3),Zhemin Zhu(2),Amparo Elizabeth Cano(2),Mena B. Habib(2)
Intelligence in Reliability Engineering,Ming Jian Zuo(2),Hong-Zhong Huang(2),Claudio M. Rocco Sanseverino(2),Kin-Ping Hui(1),Vadlamani Ravi(1),Dirk P. Kroese(1),Zhigang Tian(1),Marco Muselli(1),Lev V. Utkin(1),Shyi-Ming Chen(1)
Intelligent Agents in the Evolution of Web and Applications,Grzegorz Frackowiak(1),Adam Jatowt(1),Raymond Y. K. Lau(1),Michal Szymczak(1),Vicente Moret-Bonillo(1),Jeffrey Tweedale(1),Belén Baldonedo del Río(1),Yoshikuni Harada(1),David Alonso-Ríos(1),Myon-Woong Park(1)
Intelligent Autonomous Systems,Dilip Kumar Pratihar(4),Prem Kumar Kalra(2),Pandu Ranga Vundavilli(1),Kai Heesche(1),Sandeep Kumar Yadav(1),Werner Hauptmann(1),Lakhmi C. Jain(1),Bikash Bepari(1),Jörg Beyer(1),Rudolf Kruse(1)
Intelligent Collaborative e-Learning Systems and Applications,David Thaw(2),Thanasis Daradoumis(2),Jerome Feldman(2),Maria Kordaki(2),Santi Caballé(2),Gustavo Gutiérrez-Carreón(1),Yannis A. Dimitriadis(1),Alejandra Martínez-Monés(1),Francesco Orciuoli(1),Daniel Lázaro Iglesias(1)
Intelligent Computer Graphics,Dimitri Plemenos(2),Georgios Miaoulis(2),Panagiotis Petridis(1),Pierangelo Dell'Acqua(1),Georgios Bardis(1),Nikolaos D. Doulamis(1),Anastasios D. Doulamis(1),Dimitrios Makris 0002(1),Yves Duthen(1),Samuel Delepoulle(1)
Intelligent Decision Making: An AI-Based Approach,Nikhil Ichalkaranje(2),Lakhmi C. Jain(2),Gloria E. Phillips-Wren(2),Guangquan Zhang 0001(1),Daniel I. Thomas(1),Tetsuya Murai(1),Ljubo B. Vlacic(1),Tharam S. Dillon(1),Enrique Herrera-Viedma(1),Luis Martínez-López(1)
Intelligent Decision Support,Roman Slowinski(4),Jerzy Stefanowski(3),Krzysztof Slowinski(2),Jacques Teghem(2),Wojciech P. Ziarko(2),Urszula Wybraniec-Skardowska(1),Ankica Babic(1),Adam J. Szladow(1),Lech T. Polkowski(1),Tsau Y. Lin(1)
Intelligent Educational Machines,Rosa Maria Vicari(2),Kai P. Rasmussen(1),Leena M. Razzaq(1),Crescencio Bravo(1),Reinaldo C. Souza(1),Kenneth R. Koedinger(1),Ana Carolina Letichevsky(1),Neil T. Heffernan(1),Ricardo Tanscheit(1),César A. Collazos 0001(1)
Intelligent Environments (Workshops),Vic Callaghan(33),Juan Carlos Augusto(32),Minjuan Wang(21),Víctor Zamudio(19),Paulo Novais(15),Ramón López-Cózar(12),Peter Mikulecký(12),Rosario Baltazar(11),Michael Gardner(10),Diane J. Cook(9)
Intelligent Information Access,Carlo Gaibisso(1),Veit Köppen(1),Giuseppe Amodeo(1),Andreas Hotho(1),Carlo Strapparava(1),Berardina De Carolis(1),Nicole Novielli(1),Maria Teresa Pazienza(1),Giorgio Gambosi(1),Bettina Berendt(1)
Intelligent Methods and Big Data in Industrial Applications,Andrzej Czyzewski(2),Michal Lech(2),Przemyslaw Rokita(2),Katarzyna Baraniak(2),Bozena Malysiak-Mrozek(1),Narges Tabari(1),Krista Rizman Zalik(1),Sergio Flesca(1),Katarzyna Pakulska(1),Germán Gonzalo Creamer(1)
Intelligent Monitoring, Control, and Security of Critical Infrastructure Systems,Marios M. Polycarpou(3),Christos G. Panayiotou(2),Elias Kyriakides(2),Vicenç Puig(1),Matija Stevanovic(1),Joseba Quevedo(1),Attila Vidács(1),Georgios Ellinas(1),Stefano Panzieri(1),Romolo Camplani(1)
Intelligent Multimedia Data Hiding: New Directions,Jeng-Shyang Pan 0001(3),Chin-Chen Chang 0001(2),Hsiang-Cheh Huang(2),Wen-Hsiao Peng(1),Hsiao-Rong Tyan(1),Michiharu Niimi(1),Yu-Chen Hu(1),ShaoWei Weng(1),Hiroshi Yoshiura(1),Hans Burkhardt(1)
Intelligent Multimedia Surveillance,Paolo Remagnino(1),Milos Ljubojevic(1),Rita Cucchiara(1),Balasubramanian Raman(1),Álvaro García-Martín(1),Nikki Gulzar(1),Vladimir Risojevic(1),Pau Climent-Pérez(1),Myo Thida(1),Christian Micheloni(1)
Intelligent Narrative Technologies,Robert Michael Young(4),James C. Lester(4),Marilyn A. Walker(3),Bradford W. Mott(3),David L. Roberts(3),R. Michael Young(2),Norman I. Badler(2),Matthew William Fendt(2),Grace I. Lin(2),Alok Baikadi(2)
Intelligent Robots,Horst Bunke(3),Robert C. Bolles(2),Lynne E. Parker(1),Larry H. Matthies(1),Markus Stricker(1),Masafumi Yamashita(1),Enric Martí(1),David Hershberger(1),Ruzena Bajcsy(1),Mark Rosenblum(1)
Intelligent Systems for Automated Learning and Adaptation,Francisco Herrera(1),King Hann Lim(1),Walter Anheier(1),Salvador García(1),Paolo Renna(1),Esteban Tlelo-Cuautle(1),Li-Minn Ang(1),Akira Namatame(1),Ivick Guerra-Gómez(1),Siew Wen Chin(1)
Intelligent Techniques in Engineering Management,Sezi Çevik Onar(3),Bo Xing(2),Seyed Hossein Iranmanesh(2),Ekrem Duman(1),Irem Otay(1),Juan Carlos Figueroa García(1),Xisong Dong(1),Abbas Parchami(1),Giuseppe Vignali(1),Majid Shakhsi-Niaei(1)
Intelligent Tools for Building a Scientific Information Platform,Lukasz Bolikowski(7),Cezary Mazurek(7),Hung Son Nguyen(6),Jan Weglarz(6),Maciej Stroinski(6),Andrzej Czyzewski(4),Piotr Jan Dendek(4),Marcin Werla(4),Henryk Rybinski(4),Henryk Krawczyk(3)
Intelligent Tutoring Systems (2),Claude Frasson(6),Neil T. Heffernan(6),Steven Ritter(4),Brendon Towle(4),Joseph E. Beck(4),Kenneth R. Koedinger(4),Tiffany Barnes(4),André Mayers(4),R. Charles Murray(4),Robert G. M. Hausmann(4)
Intelligente Systeme zur Entscheidungsunterstützung,Giselher Pankratz(2),Lars Mönch(2),Christian Schiller(1),Arina Soukhoroukova(1),Ling Zou(1),Axel Holland(1),Christoph Habla(1),Michael Jacob(1),Thomas Ponsignon(1),René Schumann(1)
Intelligenztechnologie,Gerhard Fischer(2),Max Schulze-Vorberg Jr.(1),Martin F. Wolters(1),Wolfgang K. Giloi(1),Peter Schnupp(1),Joachim H. Laubsch(1),Claus M. Müller(1),Karl-Heinz Sylla(1)
InterSol,Assane Gueye(8),Ababacar Ndiaye(6),Cheikh M. F. Kébé(5),Gaoussou Camara(3),Babacar Mbaye(3),Aminata A. Garba(3),Moussa Lo(3),Martin Saint(2),Alassane Diop(2),Muthoni Masinde(2)
InterSol/CNRIA,Khaly Tall(3),Idy Diop(3),Madiop Diouf(3),Cheikh M. F. Kébé(3),Assane Gueye(3),Sidi Mohamed Farsi(3),Sanjay Misra(3),Birahime Diouf(3),Emmanuel Chene(2),Ousmane Khouma(2)
Interacción,César A. Collazos 0001(31),Cristina Manresa-Yee(16),Jaime Muñoz Arteaga(13),Carina S. González-González(12),Eva Cerezo(12),Sandra Baldassarri(11),Francisco Luis Gutiérrez Vela(10),Toni Granollers(9),Andrés Solano(9),Sandra P. Cano(9)
Interact. Learn. Environ.,Sue Greener(33),Gwo-Jen Hwang(25),Timothy Teo(16),Rob Koper(11),Yueh-Min Huang(10),Chin-Chung Tsai(9),Sherry Y. Chen(9),Nian-Shing Chen(9),Wim Westera(8),Chih-Ming Chen 0001(8)
Interactions,Elizabeth Dykstra-Erickson(77),Jonathan Arnowitz(70),Marisa E. Campbell(67),Steven Pemberton(60),Jon Kolko(57),Elizabeth F. Churchill(52),Eli Blevis(44),Ron Wakkary(43),Erik Stolterman(41),Aaron Marcus(41)
Interactive Collaborative Information Systems,Bob J. Wielinga(2),Frans C. A. Groen(2),Robert Babuska(2),Shimon Whiteson(2),Bart De Schutter(2),Leon J. H. M. Kester(2),Zhenke Yang(1),Harm van Seijen(1),Mattijs Ghijsen(1),Alin Gavril Chitu(1)
Interactive Decision Theory and Game Theory,Piotr J. Gmytrasiewicz(3),Marc J. V. Ponsen(2),Michael Kaisers(2),John Robert Yaros(1),Sofia Ceppi(1),Paul Varkey(1),Matthew E. Taylor(1),Steven de Jong(1),Marc Lanctot(1),Anind K. Dey(1)
Interfaces,Benjamin Lev(52),Wenjing Shen(24),Graham K. Rand(24),Michael F. Gorman(22),Brian T. Denton(20),Frederic H. Murphy(19),Alexandra M. Newman(17),Jeffrey D. Camm(16),Srinivas Bollapragada(16),Gene Woolsey(15)
Intermediate Representations Workshop,Frédéric Broustaut(1),Yong-Fong Lee(1),Theodore C. Goldstein(1),François de Ferrière(1),Ronald C. Unrau(1),Mauro Fiorentini(1),Mary Lou Soffa(1),Michael D. Ernst(1),Christian Fabre(1),L. Peter Deutsch(1)
International Conference on Computational Science (2),Andrés Iglesias 0001(9),Vassil N. Alexandrov(9),Wolfgang Karl(7),Hyunseung Choo(6),Jie Tao(6),Jens Volkert(6),Wolfgang E. Nagel(5),Vaidy S. Sunderam(5),Wlodzimierz Funika(5),Mateu Sbert(4)
International Conference on Evolutionary Computation,Yukinori Kakazu(6),Terence C. Fogarty(6),Mitsuo Gen(5),Toshio Fukuda(5),Thomas Bäck(5),Zbigniew Michalewicz(4),Takeshi Furuhashi(4),Jong-Hwan Kim(4),Zensho Nakao(4),Yen-Wei Chen(4)
International Conference on Virtual Storytelling,Ana Paiva(7),Ruth Aylett(5),Olivier Balet(5),Marc Cavazza(4),Ulrike Spierling(3),Nicolas Szilas(3),Patrice Torguet(3),Stéphane Donikian(3),Maureen Thomas(3),Fred Charles(3)
International Encyclopedia of Statistical Science,Sander Greenland(9),Czeslaw Stepniak(8),Tarald O. Kvålseth(5),Juan Carlos Abril(5),Miodrag Lovric(5),Nitis Mukhopadhyay(4),Jürgen Pilz(4),Vassiliy Simchera(4),Matthias Fischer 0005(3),Christos H. Skiadas(3)
International Semantic Web Conference (Industry Track),Soonhyun Kwon(2),Zhe Wu(2),V. Richard Benjamins(2),Dong-Hwan Park(1),Robert Lee(1),José Manuél Gómez-Pérez(1),Nico Lavarini(1),Tony Hammond(1),Harald Sack(1),Tope Omitola(1)
International Symposium on Rapid System Prototyping,Klaus D. Müller-Glaser(6),Martin Hillenbrand(4),Matthias Heinz(4),Harmon Nine(2),Gabriela Nicolescu(2),Frédéric Rousseau(2),Alexandra Aguiar(2),Ray C. C. Cheung(2),Fernando Gehm Moraes(2),William Plishker(2)
International Working Conference on Model Realism,Christiane Floyd(3),Reinhard Keil 0001(3),Horst F. Wedde(2),Józef Winkowski(2),Bernard P. Zeigler(2),Christer Carlsson(2),Siegfried Dickhoven(2),Brian R. Gaines(2),Bernd Heinemann(1),Victor Archilovich Gelovani(1)
International Workshop on Constraint Solving and Constraint Logic Programming,Pedro López-García 0001(1),Stefano Bistarelli(1),Frédéric Benhamou(1),Steven David Prestwich(1),Marc R. C. van Dongen(1),Toby Walsh(1),Roman Barták(1),Georg Ringwelski(1),Nicoleta Neagu(1),Lucas Bordeaux(1)
Internationalismus-Verlag,Joachim Söder-Mahlmann(1)
Internet Math.,Fan R. K. Chung(13),Pawel Pralat(13),Anthony Bonato(11),Alan M. Frieze(10),Jeannette C. M. Janssen(9),Linyuan Lu(8),Colin Cooper(8),Nelly Litvak(8),David F. Gleich(6),Paul Horn(6)
Internet Measurement Workshop,Christophe Diot(7),Balachander Krishnamurthy(6),Jia Wang 0001(4),Gianluca Iannaccone(4),George Varghese(3),Supratik Bhattacharyya(3),Yin Zhang(3),Albert G. Greenberg(3),Mark Crovella(3),Paul Barford(3)
Internet Technol. Lett.,Thomas Watteyne(4),Pietro Boccadoro(4),Qusay H. Mahmoud(4),Augusto Neto 0001(4),Daniel Corujo(4),Khalil Drira(3),Alessandra Rizzardi(3),Joaquín García-Alfaro(3),Rui L. Aguiar(3),Xavier Vilajosana(3)
Internet der Dinge,Sebastian Vastag(1),Heinz-Georg Pater(1),Mareike Bonnekoh(1),Reiner Wichert(1),Sarah Spiekermann(1),Marc Berning(1),Wolfgang Deiters(1),Wolfgang Prinz(1),Michael Hellenschmidt(1),Holger Ziekow(1)
Internet of Everything,Beniamino Di Martino(2),Antonio Esposito 0001(2),Tyrone Tai-On Kwok(1),Yin Huang(1),Philipp Stephanow(1),Chi-Un Lei(1),M. Serdar Yümlü(1),Jiannong Cao 0001(1),Lukas Reinfurt(1),Julian Schütte(1)
Internet of Things and Inter-cooperative Computational Technologies for Collective Intelligence,José C. Delgado 0001(1),Antonio Picariello(1),Antonino Mazzeo(1),Marenglen Biba(1),Dimitrios Tektonidis(1),Eleni Kaldoudi(1),Lican Huang(1),Ciprian Dobre(1),Hector Agustin Cozzetti(1),Hiroyoshi Miwa(1)
Intertwingled - The Work and Influence of Ted Nelson,Dick Heiser(1),Andrew Pam(1),Alan C. Kay(1),Laurie Spiegel(1),Brewster Kahle(1),Christine L. Borgman(1),Frode Hegland(1),Robert M. Akscyn(1),Ed Subitzky(1),Daniel Rosenberg(1)
Interval Mathematics,E. Adams(3),Karl Nickel(3),Herbert Fischer(2),H. Spreuer(2),Rudolf Krawczyk(2),Peter Spellucci(2),Peter Thieler(2),Norbert Krier(2),Roumen Anguelov(1),G. Scheu(1)
Into the Wild: Beyond the Design Research Lab,Andy Crabtree(2),Alan Chamberlain(2),Peter Tolmie(2),William Simm(1),Ewa Luger(1),Trien V. Do(1),Benjamin V. Hanrahan(1),Roger Slack(1),Jon Whittle(1),Tom Rodden(1)
IoPARTS@MobiSys,Peng Xu(2),Xiaoshan Sun(2),Hengchang Liu(2),Junjie Wang 0006(2),Qi Liu(2),Jian Li(2),Jinyang Li 0004(2),Arpan Pal(2),Wei Zheng(2),Bighnaraj Panigrahi(2)
IoT 360 (2),Nikolay N. Samotaev(4),Andrey Somov(3),Alexander Baranov(2),Jiannan Zhai(2),Victor Lebedev(2),Dagmar Cagánová(2),Yuheng Du(2),Tim Verbelen(2),Elena Laukhina(2),Jaume Veciana(2)
IoT S&P@SIGCOMM,Ayyoob Hamza(2),Hassan Habibi Gharakheili(2),Vijay Sivaraman(2),Nick Feamster(2),Muni Venkateswarlu K.(1),Sepideh Avizheh(1),Matthew Roughan(1),Trisha Datta(1),Reihaneh Safavi-Naini(1),Dinesha Ranathunga(1)
IoT-Sys@MobiSys,Matthias Wählisch(2),Roy Want(2),Emmanuel Baccelli(2),Kaifei Chen(1),Thomas Watteyne(1),Intaek Hong(1),Mischa Dohler(1),Robin Hillary Kravets(1),Philipp Rosenkranz(1),Randy H. Katz(1)
IoTPTS@AsiaCCS,Gökay Saldamli(3),Richard Chow(3),Kee Chaing Chua(2),Biplab Sikdar(2),Muhammad Naveed Aman(2),Shahid Raza(1),Pawel Szalachowski(1),Florian Göpfert(1),Nermin Kajtazovic(1),Seunghwan Lee(1)
IoTSMS,Jaime Lloret 0001(5),Javier Carmona-Murillo(3),Dimosthenis Kyriazis(3),Lorena Parra(3),Hung Cao(3),Milan Markovic(3),Mohammad A. Alsmirat(3),Monica Wachowicz(3),Yaser Jararweh(3),Peter Edwards(3)
Isecs,Zhigang Chen(1),Fei Yu 0001(1),Yongjun Chen(1),Qi Luo(1)
Issues and Challenges in Artificial Intelligence,Zdzislaw S. Hippe(2),Saulius Sinkevicius(2),Kestas Rimkus(2),Arunas Lipnickas(2),Wannes van der Mark(1),Zied Elouedi(1),Henryk Krawczyk(1),Tomas Potuzak(1),Bartlomiej Sniezynski(1),Dorra Ben Ayed Mezghanni(1)
Issues in Agent Communication,Mark Greaves(3),Frank Dignum(3),E. H. Mamdani(2),Yannis Labrou(2),John-Jules Ch. Meyer(2),Jeremy Pitt(2),Frank S. de Boer(2),Wiebe van der Hoek(2),Koen V. Hindriks(1),Timothy W. Finin(1)
It's All About Coordination,Kees Blom(1),Clemens Dubslaff(1),Tobias Kappé(1),Fatemeh Ghassemi(1),Einar Broch Johnsen(1),Ingrid Chieh Yu(1),Philipp Chrszon(1),Kasper Dokter(1),Alexandra Silva 0001(1),Sascha Klüppelholz(1)
J. ACM,Victor Vianu(33),Seymour Ginsburg(23),Christos H. Papadimitriou(23),Éva Tardos(21),Joseph Y. Halpern(20),Robert Endre Tarjan(19),Mihalis Yannakakis(17),Zvi Galil(16),Edward G. Coffman Jr.(16),Jeffrey D. Ullman(16)
J. Adv. Inf. Fusion,Yaakov Bar-Shalom(17),Peter Willett 0001(11),Krishna R. Pattipati(6),Stefano Coraluppi(4),Xin Tian 0002(4),Erik Blasch(4),Craig Carthel(3),David Frederic Crouse(3),Shengli Zhou(3),Javier Areta(3)
J. Ambient Intell. Humaniz. Comput.,Elhadi M. Shakshuki(26),Ansar-Ul-Haque Yasar(17),Leonard Barolli(17),Haroon Malik(16),Toly Chen(14),Pierluigi Siano(11),Bruno Bouchard 0001(9),Tarek R. Sheltami(9),Abdenour Bouzouane(9),Hsin-Chieh Wu(7)
J. Appl. Comput. Topol.,Facundo Mémoli(3),Sergio Rajsbaum(3),Peter Bubenik(3),Robert Ghrist(3),Dmitry N. Kozlov(2),Bei Wang(2),Michael J. Catanzaro(2),Alexander Wagner(2),Rachel Levanger(2),Clément Maria(2)
J. Appl. Math.,Erdal Karapinar(17),Poom Kumam(16),Stanford Shateyi(14),Muhammad Aslam Noor(14),Lu-Chuan Ceng(13),Shin Min Kang(13),Shouming Zhong(13),Hamid Reza Karimi(12),Khalida Inayat Noor(12),Fazlollah Soleymani(12)
J. Artif. Soc. Soc. Simul.,Bruce Edmonds(34),Flaminio Squazzoni(19),Andreas Koch 0004(15),Guillaume Deffuant(14),Juliette Rouchier(13),Wander Jager(13),Nigel Gilbert(12),Petra Ahrweiler(11),Rosaria Conte(11),Frédéric Amblard(11)
J. Assoc. Inf. Sci. Technol.,Mike Thelwall(86),Loet Leydesdorff(83),Lutz Bornmann(58),Bert R. Boyce(50),Carol L. Barry(46),Blaise Cronin(40),Ronald Rousseau 0001(39),Leo Egghe(37),Ying Ding 0001(33),Hsinchun Chen(32)
J. Assoc. Inf. Syst.,Varun Grover(14),Suprateek Sarker(14),Rudy Hirschheim(13),Kalle Lyytinen(13),Jason Bennett Thatcher(10),Izak Benbasat(9),Paul Benjamin Lowry(9),Lars Mathiassen(8),Viswanath Venkatesh(8),Detmar W. Straub(7)
J. Biomed. Informatics X,Gina Faraci(1),Andre Goncalves(1),Serena Jeblee(1),Thomas J. Reese(1),David M. Vock(1),Rebecca Schnall(1),Clifton D. Fuller(1),Jan F. Nygård(1),Roberto Vivancos(1),John S. P. Tulloch(1)
J. Braz. Comput. Soc.,Maria Cristina Ferreira de Oliveira(17),José Carlos Maldonado(7),Fabio Kon(6),Carlos José Pereira de Lucena(6),Clarisse Sieckenius de Souza(6),Jayme Luiz Szwarcfiter(6),Luiz Velho(4),Elias Procópio Duarte Jr.(4),Ana L. C. Bazzan(4),Carlos Camarão(4)
J. Cell. Autom.,Fangyue Chen(10),Georgios Ch. Sirakoulis(10),Genaro Juárez Martínez(10),Maurice Margenstern(9),Stefania Bandini(8),Ramón Alonso-Sanz(8),Dipanwita Roy Chowdhury(8),Sukanta Das(8),Henryk Fuks(8),Janusz Matyja(8)
J. Chem. Inf. Comput. Sci.,Milan Randic(63),Peter Willett 0002(57),Peter C. Jurs(52),Nenad Trinajstic(40),Alexandru T. Balaban(40),Ivan Gutman(35),Michael F. Lynch(33),Subhash C. Basak(33),Alan R. Katritzky(28),Stephen R. Heller(27)
J. Chem. Inf. Model.,Jürgen Bajorath(107),Matthias Rarey(36),Andreas Bender(34),Tingjun Hou(31),Peter Willett 0002(30),Alexander Tropsha(26),Alexandre Varnek(25),Robert C. Glen(23),Robert P. Sheridan(21),Valerie J. Gillet(21)
J. Cheminformatics,Andreas Bender(31),Christoph Steinbeck(24),Matthias Rarey(20),Stephen H. Bryant(19),Evan Bolton(19),Antony J. Williams(18),Egon L. Willighagen(17),Peter Murray-Rust(15),Jaroslav Koca(15),Ola Engkvist(14)
J. Comb. Optim.,Panos M. Pardalos(54),Weili Wu(39),Yinfeng Xu(28),Michael A. Henning(24),Binhai Zhu(21),Weifan Wang 0001(19),Guohui Lin(17),Zhao Zhang 0002(17),Frank K. Hwang(15),Seyed Mahmoud Sheikholeslami(14)
J. Comb. Theory, Ser. B,Paul D. Seymour(112),Carsten Thomassen(64),Robin Thomas 0001(48),Ken-ichi Kawarabayashi(45),Maria Chudnovsky(45),Bill Jackson(42),Neil Robertson(41),Béla Bollobás(37),Bojan Mohar(37),Benny Sudakov(33)
J. Commun. Networks,Hyung Yun Kong(20),Byeong Gi Lee(14),Anthony Ephremides(13),Saewoong Bahk(12),Moon Ho Lee(10),Jong-Seon No(9),Inkyu Lee(9),Iwao Sasase(9),Ezio Biglieri(8),Chan-Byoung Chae(7)
J. Community Informatics,Michael Gurstein(43),Susan O'Donnell(12),John M. Carroll(11),Brian Beaton(9),Aldo de Moor(8),Eduardo Villanueva Mansilla(7),Larry Stillman(6),Tim Whiteduck(6),Fiorella de Cindio(6),David Nemer(6)
J. Comput. Appl. Math.,Lothar Reichel(33),Ting-Zhu Huang(30),Mehdi Dehghan 0002(30),Juan R. Torregrosa(29),Alicia Cordero(27),Eric T. Chung(26),Ioannis K. Argyros(25),Marián Slodicka(22),Lin Mu(17),Maria V. Vasilyeva(17)
J. Comput. Biol.,Ron Shamir(28),Roded Sharan(21),Michael S. Waterman(19),David Sankoff(18),Fengzhu Sun(18),Vineet Bafna(17),Richard M. Karp(16),Bonnie Berger(16),Sorin Istrail(15),Eleazar Eskin(15)
J. Comput. Chem.,Charles L. Brooks III(36),Wilfred F. van Gunsteren(36),Chia-Chung Sun(36),Norman L. Allinger(33),Ze-Sheng Li(33),Alexander D. MacKerell Jr.(33),Harold A. Scheraga(30),Jing-Yao Liu(29),Hiromi Nakai(28),F. Matthias Bickelhaupt(25)
J. Comput. Des. Eng.,Nobuyuki Umezu(6),Vimal J. Savsani(5),Masatomo Inui(5),Vivek K. Patel(4),Ghanshyam G. Tejani(4),Soonhung Han(3),Kai Tang(3),Yutaka Ohtake(3),Yongjin (James) Kwon(3),Yukie Nagai(3)
J. Comput. Inf. Sci. Eng.,Debasish Dutta(6),Chia-Hsiang Menq(4),David W. Rosen(4),William C. Regli(4),Kunwoo Lee(3),Michael J. Pratt(3),Carlo H. Séquin(3),Jami J. Shah(3),Jianbing Huang(3),Willem F. Bronsvoort(3)
J. Comput. Inf. Technol.,Vlado Glavinic(18),Dunja Mladenic(7),Ray J. Paul(6),C. I. T. Editorial Office(6),Adesina Simon Sodiya(5),Hermann A. Maurer(5),Li Yan 0001(4),Mustapha Lalam(3),Nirwan Ansari(3),Krishna Asawa(3)
J. Comput. Phys.,Chi-Wang Shu(72),George E. Karniadakis(62),Jan Nordström(53),Nikolaus A. Adams(44),Kun Xu 0001(41),Frédéric Gibou(40),Michael Dumbser(39),Xiangyu Hu 0002(37),Nicholas Zabaras(34),Dinshaw S. Balsara(34)
J. Comput. Sci. Eng.,Wei Zhang 0002(26),Yiqiang Ding(8),Jun Yan 0008(5),Jinah Park(4),Yu Liu 0037(4),Choong Seon Hong(3),Kunsoo Park(3),Moo Wan Kim(3),Hakil Kim(3),Yu Sun 0006(3)
J. Comput. Syst. Sci.,Christos H. Papadimitriou(25),Joost Engelfriet(24),Sanjay Jain 0001(24),Jeffrey D. Ullman(18),Mihalis Yannakakis(17),Grzegorz Rozenberg(16),Michael R. Fellows(15),Fedor V. Fomin(15),Frank Stephan 0001(15),Rolf Niedermeier(15)
J. Comput. Virol.,Eric Filiol(20),Sébastien Josse(5),Vlasti Broucek(5),Paul Turner(4),Radu State(4),Grégoire Jacob(4),Richard Ford(4),Arun Lakhotia(4),Andrew Walenstein(4),Mark Stamp(4)
J. Control. Sci. Eng.,Chenglin Wen(5),Xiao He 0001(4),Kaixiang Peng(3),Leipo Liu(3),Darong Huang(3),Zhi-Jie Zhou(3),Godpromesse Kenné(2),Wenshao Bu(2),Li Wang 0032(2),Lei Xiong(2)
J. Convergence Inf. Technol.,Debajyoti Mukhopadhyay(6),V. Vasudevan(6),Yajun Du(4),Zhimin Yang(4),Xian-Yi Cheng(4),Qian Zhu(4),Anirban Kundu(4),Il Seok Ko(4),Heng-Chang Lin(3),Hai Guo(3)
J. Cryptol.,Yehuda Lindell(28),Adi Shamir(17),Carmit Hazay(15),Eli Biham(15),Jonathan Katz(14),Mihir Bellare(12),Nathan Keller(12),Ran Canetti(12),Rosario Gennaro(12),Orr Dunkelman(12)
J. Data Min. Digit. Humanit.,Ali Kartit(2),Hassan Ouahmane(2),Mbarek Marwan(2),Nicholas K. Rauh(1),Bruno Bureau(1),Sara Schulthess(1),Adam Ganz(1),Mustapha Amrouch(1),Joel Kalvesmaki(1),Christian Leuprecht(1)
J. Data Semantics I,Karl Aberer(1),Salvatore T. March(1),Stefano Spaccapietra(1)
J. Data Semantics III,Esteban Zimányi(1),Stefano Spaccapietra(1)
J. Data Semantics IV,Stefano Spaccapietra(1)
J. Data Semantics VI,Karl Aberer(1),Stefano Spaccapietra(1),Philippe Cudré-Mauroux(1)
J. Digit. Forensic Pract.,Mark Pollitt(9),Gary C. Kessler(5),Peter Henry(3),Judie Mulholland(3),Christopher Marberry(3),Philip Craiger(3),Jonathan Matusitz(3),Paul Burke(3),Rayford B. Vaughn(3),David A. Dampier(2)
J. Electron. Commer. Res.,Mahesh S. Raisinghani(3),Ian MacInnes(2),Patrick Y. K. Chau(2),Jerome Yen(2),Benjamin B. M. Shao(2),Christopher C. Yang(2),John H. Nugent(2),Minder Chen(2),Susan Sproule(2),Tzung-I Tang(2)
J. Embed. Comput.,Zili Shao(3),Edwin Hsing-Mean Sha(3),Francky Catthoor(3),James H. Anderson(3),Henk Corporaal(3),Dimitrios Soudris(3),Rajeev Barua(2),Cosimo Antonio Prete(2),Wei Zhang 0002(2),Sandro Bartolini(2)
J. Formaliz. Reason.,Andrea Asperti(3),Benedikt Ahrens(2),José Grimm(2),Mauricio Ayala-Rincón(2),Tarmo Uustalu(2),Cezary Kaliszyk(2),Ferruccio Guidi(2),Josef Urban(2),Reynald Affeldt(2),Wilmer Ricciotti(2)
J. Funct. Log. Program.,Michael Hanus(5),Lee Naish(3),Bart Demoen(2),Enrico Pontelli(2),Guanshan Tong(2),Konstantinos Sagonas(2),Susana Nieva(2),Mario Rodríguez-Artalejo(2),Salvador Lucas(2),Zhenjiang Hu(2)
J. Funct. Program.,Simon L. Peyton Jones(40),Graham Hutton(26),Richard S. Bird(24),Ralf Hinze(20),Matthias Felleisen(10),Benjamin C. Pierce(10),Robert Harper 0001(9),Philip Wadler(9),Stephanie Weirich(9),Derek Dreyer(8)
J. Geogr. Inf. Syst.,Zhong Xie(4),Wen Zeng(3),Shiwu Xu(3),Xincai Wu(3),Wenyou Fan(3),Wei-Bin Zhang(2),Giorgos Mountrakis(2),Vivek Kumar Singh 0002(2),Wenfeng Liao(2),Gomaa M. Dawod(2)
J. Geogr. Syst.,Daniel A. Griffith(13),Yee Leung(13),Alan T. Murray(11),Geoffrey M. Jacquez(10),James P. LeSage(9),Harry J. P. Timmermans(9),Barry Boots(8),Morton E. O'Kelly(7),Antonio Páez(7),Michael F. Goodchild(7)
J. Graph Algorithms Appl.,David Eppstein(31),Michael Kaufmann 0001(25),Stephen G. Kobourov(18),Fabrizio Frati(18),Walter Didimo(15),Giuseppe Liotta(14),Md. Saidur Rahman 0001(14),Dorothea Wagner(13),Giuseppe Di Battista(13),Michael A. Bekos(12)
